group,element,名前,Name,VR,VM,
0x0008, 0x0001,"","Length to End",,,RET
0x0008, 0x0005,"特定文字集合","Specific Character Set",CS,1-n,
0x0008, 0x0008,"画像タイプ","Image Type",CS,1-n,
0x0008, 0x0010,"","Recognition Code",,,RET
0x0008, 0x0012,"インスタンス作成日付","Instance Creation Date",DA,1,
0x0008, 0x0013,"インスタンス作成時刻","Instance Creation Time",TM,1,
0x0008, 0x0014,"インスタンス作成者ＵＩＤ","Instance Creator UID",UI,1,
0x0008, 0x0016,"ＳＯＰクラスＵＩＤ","SOP Class UID",UI,1,
0x0008, 0x0018,"ＳＯＰインスタンスＵＩＤ","SOP Instance UID",UI,1,
0x0008, 0x0020,"検査日付","Study Date",DA,1,
0x0008, 0x0021,"シリーズ日付","Series Date",DA,1,
0x0008, 0x0022,"収集日付","Acquisition Date",DA,1,
0x0008, 0x0023,"内容日付","Content Date",DA,1,
0x0008, 0x0024,"オーバレイ日付","Overlay Date",DA,1,
0x0008, 0x0025,"カーブ日付","Curve Date",DA,1,
0x0008, 0x002A,"収集日時","Acquisition Datetime",DT,1,
0x0008, 0x0030,"検査時刻","Study Time",TM,1,
0x0008, 0x0031,"シリーズ時刻","Series Time",TM,1,
0x0008, 0x0032,"収集時刻","Acquisition Time",TM,1,
0x0008, 0x0033,"内容時刻","Content Time",TM,1,
0x0008, 0x0034,"オーバレイ時刻","Overlay Time",TM,1,
0x0008, 0x0035,"カーブ時刻","Curve Time",TM,1,
0x0008, 0x0040,"","Data Set Type",,,RET
0x0008, 0x0041,"","Data Set Subtype",,,RET
0x0008, 0x0042,"","Nuclear Medicine Series Type",CS,1,RET
0x0008, 0x0050,"受付番号","Accession Number",SH,1,
0x0008, 0x0052,"問合せ／取得レベル","Query/Retrieve Level",CS,1,
0x0008, 0x0054,"取得ＡＥ名称","Retrieve AE Title",AE,1-n,
0x0008, 0x0056,"インスタンス入手可能性","Instance Availability",CS,1,
0x0008, 0x0058,"失敗ＳＯＰインスタンスＵＩＤリスト","Failed SOP Instance UID List",UI,1-n,
0x0008, 0x0060,"モダリティ","Modality",CS,1,
0x0008, 0x0061,"検査の中のモダリティ","Modalities in Study",CS,1-n,
0x0008, 0x0064,"変換形式","Conversion Type",CS,1,
0x0008, 0x0068,"提示意図タイプ","Presentation Intent Type",CS,1,
0x0008, 0x0070,"製造者","Manufacturer",LO,1,
0x0008, 0x0080,"施設名","Institution Name",LO,1,
0x0008, 0x0081,"施設住所","Institution Address",ST,1,
0x0008, 0x0082,"施設コードシーケンス","Institution Code Sequence",SQ,1,
0x0008, 0x0090,"照会医師の名前","Referring Physician's Name",PN,1,
0x0008, 0x0092,"照会医師の住所","Referring Physician's Address",ST,1,
0x0008, 0x0094,"照会医師の電話番号","Referring Physician's Telephone Numbers",SH,1-n,
0x0008, 0x0100,"コード値","Code Value",SH,1,
0x0008, 0x0102,"符号化体系指定子","Coding Scheme Designator",SH,1,
0x0008, 0x0103,"符号化体系版","Coding Scheme Version",SH,1,
0x0008, 0x0104,"コード意味","Code Meaning",LO,1,
0x0008, 0x0105,"写像資源","Mapping Resource",CS,1,
0x0008, 0x0106,"コンテキストグループ版","Context Group Version",DT,1,
0x0008, 0x0107,"コンテキストグループ局所版","Context Group Local Version",DT,1,
0x0008, 0x010B,"符号集合拡張フラグ","Code Set Extension Flag",CS,1,
0x0008, 0x010C,"私的符号化体系作成者ＵＩＤ","Private Coding Scheme Creator UID",UI,1,
0x0008, 0x010D,"符号集合拡張作成者ＵＩＤ","Code Set Extension Creator UID",UI,1,
0x0008, 0x010F,"コンテキスト識別子","Context Identifier",CS,1,
0x0008, 0x0201,"UTCからの時間帯オフセット","Timezone Offset From UTC",SH,1,
0x0008, 0x1000,"","Network ID",,,RET
0x0008, 0x1010,"ステーション名","Station Name",SH,1,
0x0008, 0x1030,"検査記述","Study Description",LO,1,
0x0008, 0x1032,"手続きコードシーケンス","Procedure Code Sequence",SQ,1,
0x0008, 0x103E,"シリーズ記述","Series Description",LO,1,
0x0008, 0x1040,"施設部門名","Institutional Department Name",LO,1,
0x0008, 0x1048,"記録担当医師","Physicians of Record",PN,1-n,
0x0008, 0x1050,"実施医師の名前","Performing Physician's Name",PN,1-n,
0x0008, 0x1060,"検査読影医師の名前","Name of  Physicians Reading Study",PN,1-n,
0x0008, 0x1070,"操作者の名前","Operators' Name",PN,1-n,
0x0008, 0x1080,"受診時診断記述","Admitting Diagnoses Description",LO,1-n,
0x0008, 0x1084,"受診時診断コードシーケンス","Admitting Diagnosis Code Sequence",SQ,1,
0x0008, 0x1090,"製造者のモデル名","Manufacturer's Model Name",LO,1,
0x0008, 0x1100,"参照結果シーケンス","Referenced Results Sequence",SQ,1,
0x0008, 0x1110,"参照検査シーケンス","Referenced Study Sequence",SQ,1,
0x0008, 0x1111,"参照検査構成要素シーケンス","Referenced Study Component Sequence",SQ,1,
0x0008, 0x1115,"参照シリーズシーケンス","Referenced Series Sequence",SQ,1,
0x0008, 0x1120,"参照患者シーケンス","Referenced Patient Sequence",SQ,1,
0x0008, 0x1125,"参照来院シーケンス","Referenced Visit Sequence",SQ,1,
0x0008, 0x1130,"参照オーバレイシーケンス","Referenced Overlay Sequence",SQ,1,
0x0008, 0x1140,"参照画像シーケンス","Referenced Image Sequence",SQ,1,
0x0008, 0x1145,"参照カーブシーケンス","Referenced Curve Sequence",SQ,1,
0x0008, 0x1150,"参照ＳＯＰクラスＵＩＤ","Referenced SOP Class UID",UI,1,
0x0008, 0x1155,"参照ＳＯＰインスタンスＵＩＤ","Referenced SOP Instance UID",UI,1,
0x0008, 0x115A,"サポートするＳＯＰクラス","SOP Classes Supported",UI,1-n,
0x0008, 0x1160,"参照フレーム番号","Referenced Frame Number",IS,1-n,
0x0008, 0x1195,"処理ＵＩＤ","Transaction UID",UI,1,
0x0008, 0x1197,"失敗理由","Failure Reason",US,1,
0x0008, 0x1198,"失敗ＳＯＰシーケンス","Failed SOP Sequence",SQ,1,
0x0008, 0x1199,"参照ＳＯＰシーケンス","Referenced SOP Sequence",SQ,1,
0x0008, 0x2110,"","Lossy Image Compression",CS,1,RET
0x0008, 0x2111,"導出記述","Derivation Description",ST,1,
0x0008, 0x2112,"発生源画像シーケンス","Source Image Sequence",SQ,1,
0x0008, 0x2120,"ステージ名","Stage Name",SH,1,
0x0008, 0x2122,"ステージ番号","Stage Number",IS,1,
0x0008, 0x2124,"ステージの数","Number of Stages",IS,1,
0x0008, 0x2128,"ビュー番号","View Number",IS,1,
0x0008, 0x2129,"イベントタイマの数","Number of Event Timers",IS,1,
0x0008, 0x212A,"ステージの中のビューの数","Number of Views in Stage",IS,1,
0x0008, 0x2130,"イベント経過時間","Event Elapsed Times",DS,1-n,
0x0008, 0x2132,"イベントタイマ名","Event Timer Names",LO,1-n,
0x0008, 0x2142,"開始トリム","Start Trim",IS,1,
0x0008, 0x2143,"停止トリム","Stop Trim",IS,1,
0x0008, 0x2144,"推奨表示フレーム率","Recommended Display Frame Rate",IS,1,
0x0008, 0x2200,"","Transducer Position",CS,1,RET
0x0008, 0x2204,"","Transducer Orientation",CS,1,RET
0x0008, 0x2208,"","Anatomic Structure",CS,1,RET
0x0008, 0x2218,"解剖学的領域シーケンス","Anatomic Region Sequence",SQ,1,
0x0008, 0x2220,"解剖学的領域修飾子シーケンス","Anatomic Region Modifier Sequence",SQ,1,
0x0008, 0x2228,"解剖学的主要構造シーケンス","Primary Anatomic Structure Sequence",SQ,1,
0x0008, 0x2229,"解剖学的構造，空間あるいは領域シーケンス","Anatomic Structure", Space or Region Sequence,SQ,1,
0x0008, 0x2230,"解剖学的主要構造修飾子シーケンス","Primary Anatomic Structure Modifier Sequence",SQ,1,
0x0008, 0x2240,"探触子位置シーケンス","Transducer Position Sequence",SQ,1,
0x0008, 0x2242,"探触子位置修飾子シーケンス","Transducer Position Modifier Sequence",SQ,1,
0x0008, 0x2244,"探触子向きシーケンス","Transducer Orientation Sequence",SQ,1,
0x0008, 0x2246,"探触子向き修飾子シーケンス","Transducer Orientation Modifier Sequence",SQ,1,
0x0008, 0x4000,"","Comments",,,RET
0x0010, 0x0010,"患者の名前","Patient's Name",PN,1,
0x0010, 0x0020,"患者ＩＤ","Patient ID",LO,1,
0x0010, 0x0021,"患者ＩＤの発行者","Issuer of Patient ID",LO,1,
0x0010, 0x0030,"患者の誕生日","Patient's Birth Date",DA,1,
0x0010, 0x0032,"患者の誕生時刻","Patient's Birth Time",TM,1,
0x0010, 0x0040,"患者の性別","Patient's Sex",CS,1,
0x0010, 0x0050,"患者の保険計画コードシーケンス","Patient's Insurance Plan Code Sequence",SQ,1,
0x0010, 0x1000,"患者の他のＩＤ","Other Patient IDs",LO,1-n,
0x0010, 0x1001,"患者の他の名前","Other Patient Names",PN,1-n,
0x0010, 0x1005,"患者の誕生名","Patient's Birth Name",PN,1,
0x0010, 0x1010,"患者の年齢","Patient's Age",AS,1,
0x0010, 0x1020,"患者の身長","Patient's Size",DS,1,
0x0010, 0x1030,"患者の体重","Patient's Weight",DS,1,
0x0010, 0x1040,"患者の住所","Patient's Address",LO,1,
0x0010, 0x1050,"","Insurance Plan Identification",,,RET
0x0010, 0x1060,"患者の母の誕生名","Patient's Mother's Birth Name",PN,1,
0x0010, 0x1080,"軍の階級","Military Rank",LO,1,
0x0010, 0x1081,"軍の部門","Branch of Service",LO,1,
0x0010, 0x1090,"診療記録所在識別子","Medical Record Locator",LO,1,
0x0010, 0x2000,"医学的注意事項","Medical Alerts",LO,1-n,
0x0010, 0x2110,"造影剤アレルギー","Contrast Allergies",LO,1-n,
0x0010, 0x2150,"居住の国","Country of Residence",LO,1,
0x0010, 0x2152,"居住の地域","Region of Residence",LO,1,
0x0010, 0x2154,"患者の電話番号","Patient's Telephone Numbers",SH,1-n,
